티커,종목명,시장,시가총액,상장주식수,종가,거래량
005930,삼성전자,KOSPI,1565341097292000,5846278608,267750,44761554
000660,SK하이닉스,KOSPI,1146025402920000,712702365,1608000,5180007
005935,삼성전자우,KOSPI,153894796735400,802371203,191800,9004609
402340,SK스퀘어,KOSPI,144362474284000,131958386,1094000,1403517
373220,LG에너지솔루션,KOSPI,112788000000000,234000000,482000,471032
005380,현대차,KOSPI,112412013534000,204757766,549000,1469750
034020,두산에너빌리티,KOSPI,81607490000400,640561146,127400,3334694
012450,한화에어로스페이스,KOSPI,74405987643000,51563401,1443000,140592
009150,삼성전기,KOSPI,68792894016000,74693696,921000,1063331
207940,삼성바이오로직스,KOSPI,68510607480000,46290951,1480000,79843
329180,HD현대중공업,KOSPI,68224796250000,104961225,650000,542666
028260,삼성물산,KOSPI,61624212780000,162168981,380000,1461391
000270,기아,KOSPI,60474973390200,390412998,154900,889212
032830,삼성생명,KOSPI,60400000000000,200000000,302000,662569
105560,KB금융,KOSPI,59917068118500,372850455,160700,1188265
006400,삼성SDI,KOSPI,56329285470000,80585530,699000,713175
267260,HD현대일렉트릭,KOSPI,50033423380000,36047135,1388000,226487
006800,미래에셋증권,KOSPI,47451271424000,559566880,84800,19424170
010120,LS ELECTRIC,KOSPI,47325000000000,150000000,315500,1526135
055550,신한지주,KOSPI,46278800197500,474654361,97500,1147599
068270,셀트리온,KOSPI,43433317677700,221938261,195700,681862
298040,효성중공업,KOSPI,43070087212000,9324548,4619000,86874
005490,POSCO홀딩스,KOSPI,40333937243000,79241527,509000,521219
042660,한화오션,KOSPI,40017589256400,306413394,130600,1614021
012330,현대모비스,KOSPI,39559406188000,90732583,436000,300793
034730,SK,KOSPI,37991416372000,72502703,524000,493386
010130,고려아연,KOSPI,36986901068000,20872969,1772000,73385
042700,한미반도체,KOSPI,36861993350000,95312200,386750,1131328
086790,하나금융지주,KOSPI,34625209797600,274367748,126200,782713
035420,NAVER,KOSPI,32625348704000,156852638,208000,659252
009540,HD한국조선해양,KOSPI,32201767780000,70773116,455000,170893
051910,LG화학,KOSPI,30001745775000,70592343,425000,306420
000150,두산,KOSPI,29067933825000,16193835,1795000,108878
015760,한국전력,KOSPI,28984678076550,641964077,45150,2465778
064350,현대로템,KOSPI,28813565352000,109142293,264000,738200
010140,삼성중공업,KOSPI,28292000000000,880000000,32150,5053826
003670,포스코퓨처엠,KOSPI,25527565140000,88946220,287000,964918
066570,LG전자,KOSPI,25182235430200,162886387,154600,3604513
096770,SK이노베이션,KOSPI,24580275375200,169052788,145400,1104991
316140,우리금융지주,KOSPI,24040999480000,734076320,32750,3207387
272210,한화시스템,KOSPI,23142625152500,188919389,122500,1249391
267250,HD현대,KOSPI,22671015395000,78993085,287000,232135
000810,삼성화재,KOSPI,21497758249500,44647473,481500,365072
079550,LIG디펜스앤에어로스페이스,KOSPI,21494000000000,22000000,977000,200893
035720,카카오,KOSPI,20555246168000,443000995,46400,1936509
017670,SK텔레콤,KOSPI,20490971056200,214790053,95400,721154
033780,KT&G,KOSPI,20228960178000,114676645,176400,311450
011200,HMM,KOSPI,19430702182000,943237970,20600,1327751
138040,메리츠금융지주,KOSPI,18843302939800,167347273,112600,294230
000720,현대건설,KOSPI,18284616613000,111355765,164200,1193782
024110,기업은행,KOSPI,17304141357300,797425869,21700,1867486
047810,한국항공우주,KOSPI,17214103896200,97475107,176600,1212305
006260,LS,KOSPI,16629600000000,31200000,533000,311741
086280,현대글로비스,KOSPI,16575000000000,75000000,221000,245715
278470,에이피알,KOSPI,15855058642500,37438155,423500,441275
003550,LG,KOSPI,15730601670000,154221585,102000,305237
071050,한국금융지주,KOSPI,15659003752000,55725992,281000,510263
011070,LG이노텍,KOSPI,14933944517000,23667107,631000,297399
030200,KT,KOSPI,14869279415000,252021685,59000,439245
047050,포스코인터내셔널,KOSPI,14715941216200,175922788,83650,659090
005940,NH투자증권,KOSPI,13790527080300,356344369,38700,2375539
010950,S-Oil,KOSPI,13746358903200,112582792,122100,468956
259960,크래프톤,KOSPI,13558778376000,47408316,286000,160804
016360,삼성증권,KOSPI,13502160000000,89300000,151200,4038981
018260,삼성에스디에스,KOSPI,13254817140000,77377800,171300,415919
047040,대우건설,KOSPI,13251771325500,410907638,32250,21673928
001440,대한전선,KOSPI,12864863700000,186447300,69000,28319216
0126Z0,삼성에피스홀딩스,KOSPI,12839653284000,24883049,516000,52694
039490,키움증권,KOSPI,12628934154000,26228316,481500,517561
307950,현대오토에버,KOSPI,12025416107000,27423982,438500,106068
323410,카카오뱅크,KOSPI,11904154903150,477120437,24950,2052784
443060,HD현대마린솔루션,KOSPI,11746366520000,44833460,262000,308739
007660,이수페타시스,KOSPI,11084792069000,73409219,151000,1097058
352820,하이브,KOSPI,10603153254000,43102249,246000,343856
005830,DB손해보험,KOSPI,10597956468200,65500349,161800,229576
028050,삼성E&A,KOSPI,10407600000000,196000000,53100,1932817
000880,한화,KOSPI,9927514995200,70507919,140800,387057
003230,삼양식품,KOSPI,9800452515000,7533015,1301000,47706
062040,산일전기,KOSPI,9758802187500,30615850,318750,795101
003490,대한항공,KOSPI,9058228260600,368220661,24600,1380720
267270,HD건설기계,KOSPI,8995147125000,47974118,187500,371696
005387,현대차2우B,KOSPI,8775946430000,34963930,251000,208316
066970,엘앤에프,KOSPI,8577733137500,40365803,212500,498691
009830,한화솔루션,KOSPI,8268030981600,171892536,48100,2699346
377300,카카오페이,KOSPI,8236442850300,135245367,60900,2329788
326030,SK바이오팜,KOSPI,7737349100000,78313250,98800,178271
